Category,Latitude,Longitude,Distance (km),Name,Address,City,PostCode
cafe,30.417342,-9.596277,1.24,Tafarnout,Unknown,Unknown,0
cafe,30.416183,-9.595610,1.23,La Fontaine,Unknown,Unknown,0
cafe,30.417779,-9.595812,1.19,L'Anice,Unknown,Unknown,0
cafe,30.424319,-9.593367,1.01,Cremerie du sud,Rue El Mahdi Ibn Toumert,Unknown,0
cafe,30.417042,-9.586916,0.49,Cafe El Hay,Unknown,Unknown,0
cafe,30.426022,-9.591903,0.99,Caramel,Boulevard Mohammed Cheikh Saadi,Agadir,80000
cafe,30.409035,-9.567374,2.03,Café Aslal مقهى أسلال,Avenue Jamal Abdennaser,Unknown,80050
cafe,30.418230,-9.596952,1.28,La Veranda,Unknown,Unknown,0
cafe,30.421194,-9.599562,1.51,ça papote,Unknown,Unknown,0
cafe,30.408171,-9.587371,1.41,Cafe 10,Unknown,Unknown,0
cafe,30.413060,-9.574477,1.22,Cafe 11,Unknown,Unknown,0
cafe,30.413218,-9.578963,0.94,Cafe 12,Unknown,Unknown,0
cafe,30.418764,-9.596589,1.24,Café Mauro,Unknown,Unknown,0
cafe,30.412130,-9.583707,0.93,Cafe 14,Unknown,Unknown,0
cafe,30.419333,-9.578315,0.55,Cafe 15,Unknown,Unknown,0
cafe,30.414206,-9.580844,0.76,Cafe 16,Unknown,Unknown,0
cafe,30.421973,-9.593610,0.95,iMiM,Unknown,Unknown,0
cafe,30.422770,-9.594378,1.04,Cremerie Mazagan,Unknown,Unknown,0
cafe,30.424437,-9.591991,0.89,Cafe Santiago,Unknown,Unknown,0
cafe,30.424515,-9.592094,0.91,Cafe Holanda,Unknown,Unknown,0
cafe,30.412294,-9.589334,1.05,Al Fajer,Unknown,Unknown,0
cafe,30.413855,-9.593155,1.16,Cafe 22,Unknown,Unknown,0
