Category,Latitude,Longitude,Distance (km),Name,Address,City,PostCode
hotel,30.422910,-9.601793,1.74,Hotel 1,Unknown,Unknown,0
hotel,30.418802,-9.602110,1.76,Odyssee,Unknown,Unknown,0
hotel,30.417997,-9.594811,1.09,New Farah Hotel,Rue de la Foire,Agadir,80000
hotel,30.421468,-9.595184,1.09,Hotel Atlas,Unknown,Agadir أكادير,0
hotel,30.410315,-9.582946,1.14,Senator Agadir Hotel,Unknown,Unknown,0
hotel,30.418280,-9.594173,1.02,Residence Isni,Unknown,Unknown,0
hotel,30.412555,-9.597523,1.58,Hotel Adrar Sahara Agadir,Unknown,Unknown,0
hotel,30.411623,-9.598106,1.69,Hotel Coralia Club Agadir La Kasbah,Unknown,Unknown,0
hotel,30.412984,-9.598788,1.66,Hotel Mabrouk,Unknown,Unknown,0
hotel,30.411986,-9.596934,1.57,Hotel Royal,Unknown,Unknown,0
hotel,30.415019,-9.600962,1.75,Boutique Hotel Tagadirt,Unknown,Unknown,0
hotel,30.422046,-9.595888,1.17,Hotel Itrane,Unknown,Unknown,0
hotel,30.419537,-9.603682,1.90,Beach Albatros,Unknown,Unknown,0
hotel,30.413432,-9.598213,1.59,Hôtel Argana,Unknown,Unknown,0
hotel,30.417117,-9.588974,0.62,Riad Les Chtis d'Agadir,Unknown,Unknown,0
hotel,30.425148,-9.592822,1.00,Hotel Ait Laayoune,Unknown,Unknown,0
hotel,30.425314,-9.593087,1.03,Hotel Excelsior,Unknown,Unknown,0
hotel,30.407797,-9.598213,1.97,El Pueblo Tamlelt,Bd du 20 Août,Agadir,0
hotel,30.424663,-9.592727,0.97,Hotel Massa,Unknown,Unknown,0
hotel,30.421633,-9.595058,1.08,Hotel Tiznine,Unknown,Unknown,0
hotel,30.424696,-9.592979,0.99,Hotel Sindibad,Place Lahcen Oubrahim, Tamri, Talbojt,Unknown,80000
hotel,30.423181,-9.603668,1.92,Hotel Petite Suede,Unknown,Unknown,0
hotel,30.416926,-9.600162,1.61,Anezi Tower,Unknown,Unknown,0
hotel,30.423446,-9.595754,1.19,Hotel Tamri,Unknown,Unknown,0
hotel,30.419157,-9.598284,1.39,Assaka,Unknown,Unknown,0
hotel,30.423311,-9.594079,1.03,Hotel Diaf,Unknown,Unknown,0
hotel,30.417156,-9.602838,1.86,Kenzi Europa,Unknown,Unknown,0
hotel,30.417084,-9.602933,1.87,Kenzi Europa,Unknown,Unknown,0
hotel,30.418691,-9.598269,1.40,Residence Yasmina,Unknown,Unknown,0
hotel,30.418312,-9.594531,1.05,Appart Hotel Fleurie,Unknown,Unknown,0
hotel,30.414471,-9.599007,1.60,Hotel Transatlantique,Unknown,Unknown,0
hotel,30.411682,-9.596233,1.54,Sahara Hotel,Avenue Mohamed V,Agadir,80000
hotel,30.422266,-9.589995,0.62,Agadirinou House,Rue Tamagroute,Unknown,0
hotel,30.410153,-9.597629,1.75,Caribbean Village Agador,Boulevard du 20 Août,Unknown,0
hotel,30.423665,-9.593140,0.96,Hotel el Bahia,Unknown,Unknown,0
hotel,30.424427,-9.592456,0.93,Hotel Canaria,Unknown,Unknown,0
hotel,30.413304,-9.572317,1.37,ALHAMRA,Unknown,Unknown,0
hotel,30.419591,-9.598775,1.43,Kamal city center,Unknown,Unknown,0
hotel,30.409952,-9.601420,2.05,Residence Rihab,Unknown,Unknown,0
hotel,30.416626,-9.604149,1.99,Royal Decameron Tafoukt Beach Resort,Unknown,Unknown,0
hotel,30.413243,-9.602800,1.99,Club Med Agadir,Unknown,Unknown,0
hotel,30.419352,-9.597617,1.33,Atlantic,Unknown,Unknown,0
hotel,30.405006,-9.595821,2.07,Atlantic Palace Casino & Resort,Unknown,Unknown,0
hotel,30.407968,-9.600344,2.11,Hotel Riu Palace Tikida Agadir,Chemin des Dunes,Agadir أݣادير,80000
hotel,30.415586,-9.603782,1.99,The View Agadir,Boulevard du 20 Août,Agadir,80010
hotel,30.416745,-9.601186,1.71,Hotel Anezi,Avenue Mohamed V,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80000
hotel,30.418780,-9.598835,1.45,Résidence sacha,Place de la Jeunesse,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80000
hotel,30.408117,-9.596304,1.82,Blue Sea Le Tivoli,Unknown,Unknown,0
hotel,30.419225,-9.599596,1.52,Hotel Résidence Louban,Unknown,Unknown,0
hotel,30.418966,-9.599811,1.54,Hotel les palmiers,Unknown,Unknown,0
hotel,30.411706,-9.591562,1.23,Hotel Solman,Unknown,Unknown,0
hotel,30.413239,-9.572255,1.38,Hotel 52,Unknown,Unknown,0
hotel,30.412909,-9.600594,1.81,Residence Intouriste,Unknown,Unknown,0
