Category,Latitude,Longitude,Distance (km),Name,Address,City,PostCode
pharmacy,30.417109,-9.600315,1.62,Pharmacie Anezi صيدلية أنزي,Unknown,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80000
pharmacy,30.414785,-9.598866,1.57,Pharmacy 2,Unknown,Unknown,0
pharmacy,30.417560,-9.596466,1.25,Pharmacie Du Founty صيدلية فونتي,Unknown,Agadir,80000
pharmacy,30.407697,-9.580850,1.45,Pharmacie Mekka صيدلية مكة,Unknown,Agadir,80000
pharmacy,30.412184,-9.584385,0.93,Pharmacie De La Mosquée صيدلية المسجد,Unknown,Agadir,80000
pharmacy,30.421365,-9.592763,0.86,Pharmacie Du Soleil صيدلية الشمس,Avenue Président Kennedy,Agadir,80005
pharmacy,30.424245,-9.564255,1.92,Pharmacie Imam Al Boukhari صيدلية الامام البخاري,Avenue Imam Al Boukhari,Agadir,80000
pharmacy,30.415466,-9.582495,0.58,Pharmacie Al Moukaouama صيدلية المقاومة,Avenue Al Mouqawama,Agadir,80020
pharmacy,30.432575,-9.582746,1.35,Pharmacie El Hanane صيدلية الحنان,Avenue des Forces Armées Royales,Agadir,80000
pharmacy,30.420600,-9.597163,1.28,Grande Pharmacie d'Agadir الصيدلية الكبرى لأكادير,Avenue Prince Moulay Abdellah,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80000
pharmacy,30.416852,-9.602886,1.87,Pharmacie Europa صيدلية أوروبا,Boulevard du 20 Août,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,80000
pharmacy,30.415119,-9.578662,0.78,Pharmacie Amsernat صيدلية امصرنات,Unknown,Agadir,80000
pharmacy,30.413447,-9.582186,0.80,Pharmacie Souk Al Had et صيدلية سوق الاحد,Unknown,Agadir,80030
pharmacy,30.415515,-9.571646,1.30,Pharmacie Laazib صيدلية العزيب,Unknown,Agadir,80000
pharmacy,30.418024,-9.575663,0.83,Pharmacie Al Andalous صيدلية الأندلس,Unknown,Agadir,80000
pharmacy,30.420455,-9.580774,0.30,Pharmacie Cadi Ayad صيدلية القاضي عياض,Unknown,Agadir,80000
pharmacy,30.423833,-9.584771,0.38,Pharmacie Ihchach صيدلية احشاش,Unknown,Agadir,80025
pharmacy,30.427201,-9.592766,1.13,Pharmacie Al Menzah صيدلية المنزه,Unknown,Agadir,80000
pharmacy,30.430434,-9.587074,1.15,Pharmacie Borj Taddart صيدلية برج تادارت,Unknown,Agadir,80000
pharmacy,30.433997,-9.578525,1.58,Pharmacie Malak صيدلية ملاك,Unknown,Ph PM,80000
pharmacy,30.430862,-9.573916,1.49,Pharmacie Ennajah صيدلية النجاح,Unknown,Agadir,80000
pharmacy,30.428745,-9.575249,1.23,Pharmacie Bahara صيدلية البحارة,Rue 502,Agadir,80000
pharmacy,30.428383,-9.580545,0.93,Pharmacie Al Hana صيدلية الهناء,Unknown,Agadir,80000
pharmacy,30.427818,-9.579376,0.92,Pharmacy Propharma,Unknown,Unknown,0
pharmacy,30.426239,-9.580253,0.72,Pharmacie Al Kastalani صيدلية القسطلاني,Rue Abdallah Ben Yassine,Agadir,80000
pharmacy,30.426040,-9.567558,1.68,Pharmacie 20 Août صيدلية 20 غشت,Unknown,Agadir,80000
pharmacy,30.423014,-9.568119,1.53,Pharmacie Agharass صيدلية أغراس,Unknown,Agadir,80000
pharmacy,30.422658,-9.568400,1.50,Houssam Para,Unknown,Unknown,0
pharmacy,30.420780,-9.567407,1.58,Pharmacie Lakhiam صيدلية الخيام,Unknown,Agadir,80000
pharmacy,30.422001,-9.564672,1.85,Pharmacie Allal Fassi صيدلية علال الفاسي,Unknown,Agadir,80000
pharmacy,30.414492,-9.563863,2.03,Pharmacie El Kadi Ben Driss صيدلية القاضي بن ادريس,Unknown,Agadir,80000
pharmacy,30.413336,-9.574119,1.23,Pharmacie De France صيدلية فرنسا,Unknown,Agadir,80000
pharmacy,30.407620,-9.576726,1.59,Pharmacie Itry صيدلية اتري,Unknown,Agadir,80000
pharmacy,30.410929,-9.568023,1.85,Pharmacie Al Massira صيدلية المسيرة,Unknown,Agadir,80000
pharmacy,30.412172,-9.571105,1.53,Pharmacie Erraji صيدلية الراجي,Unknown,Agadir,80000
pharmacy,30.412273,-9.577139,1.12,Pharmacie Al Hamra صيدلية الحمرى,Unknown,Agadir,80000
pharmacy,30.406786,-9.574203,1.79,Pharmacie El Alami صيدلية العلمي,Unknown,Agadir,80000
pharmacy,30.409862,-9.583380,1.19,Pharmacie Al Mouna صيدلية المنى,Unknown,Agadir,80000
pharmacy,30.410910,-9.591971,1.32,Pharmacie du Palais,Avenue Al Mouqwama,Agadir,80000
pharmacy,30.410773,-9.589112,1.20,Pharmacie Chellaoui,Unknown,Agadir,80000
pharmacy,30.411772,-9.588419,1.07,Pharmacie Al Hayat صيدلية الحياة,Unknown,Agadir,80000
pharmacy,30.412754,-9.588699,0.98,Pharmacie centrale,Unknown,Agadir,80000
pharmacy,30.409697,-9.576271,1.41,Pharmacie Riad Salam الصيدلية رياض السلام,Unknown,Agadir,80000
pharmacy,30.408754,-9.570152,1.85,Pharmacie Les Parents صيدلية الوالدين,Unknown,Agadir,80000
pharmacy,30.410415,-9.572884,1.54,Pharmacie Azmi صيدلية عزمي,Unknown,Agadir,80000
pharmacy,30.415812,-9.568102,1.60,Pharmacie La Gare صيدلية المحطة,Unknown,Agadir,80000
pharmacy,30.418263,-9.564649,1.86,Pharmacie Abou Said صيدلية أبو سعيد,Unknown,Agadir,80000
pharmacy,30.417269,-9.573392,1.07,Pharmacie La Famille صيدلية الأسرة,Unknown,Agadir,80000
pharmacy,30.416232,-9.589028,0.69,Pharmacie Chaab صيدلية الشعب,Unknown,Agadir,80000
