Category,Latitude,Longitude,Distance (km),Name,Address,City,PostCode
school,30.430211,-9.595442,1.55,Centre Américain,Unknown,Unknown,0
school,30.415839,-9.575205,0.98,محمد السادس للنهوض بالتعليم الأولي,Unknown,Unknown,0
school,30.425212,-9.595416,1.23,Ecole Youssufia,Unknown,Unknown,0
school,30.405574,-9.580319,1.70,Institution Blaise Pascal,Unknown,Unknown,0
school,30.405799,-9.582179,1.64,Ecole le défi,Unknown,Unknown,0
school,30.427874,-9.588311,0.92,École Khalid Ibn Al Walid,Unknown,Unknown,0
school,30.428533,-9.585453,0.90,Collège MOHAMMED VI,Unknown,Unknown,0
school,30.429402,-9.586067,1.01,Lycée AL MOUTANABI,Unknown,Unknown,0
school,30.424159,-9.580390,0.52,School 9,Unknown,Unknown,0
school,30.417244,-9.588128,0.55,Ecole FATIMA AL FIHRYA,Unknown,Unknown,0
school,30.432560,-9.596192,1.79,Lycée YOUSSEF BNOU TACHFIN,Unknown,Unknown,0
school,30.434549,-9.596455,1.97,Lycée LALLA MERIYEM,Unknown,Unknown,0
school,30.436006,-9.585473,1.73,Institut Spécialisé de Technologie Appliquée المعهد التطبيقي اكادير,Rue Attoufah,Unknown,0
school,30.425040,-9.600518,1.68,Collége Souss Al Alima,Unknown,Unknown,0
school,30.417750,-9.569639,1.40,Ecole Ouad El-Makhazin,Unknown,Unknown,0
school,30.407904,-9.586054,1.42,Collège MOHAMED CHEIKH SAADI,Unknown,Unknown,0
school,30.410275,-9.584862,1.14,École bilal bensemlali,Unknown,Unknown,0
school,30.427779,-9.598669,1.63,RIDA SLAOUI,Unknown,Unknown,0
school,30.417953,-9.566128,1.72,مدرسة شاعر الحمراء,Unknown,Unknown,0
school,30.402646,-9.589565,2.06,Institut Spécialisé de Technologie Appliquée Hôtelière et Touristique,Unknown,Unknown,0
school,30.430965,-9.584535,1.16,Groupe Scolaire Al Hanane,Unknown,Unknown,0
school,30.428511,-9.582500,0.90,CRMEF-SM Agadir,Unknown,Unknown,0
school,30.424627,-9.577812,0.74,Kastalani,Unknown,Unknown,0
school,30.415364,-9.574576,1.06,Ecole IBN BATTOUTA,Unknown,Unknown,0
school,30.419377,-9.563690,1.94,Lycée ANOUAL,Unknown,Unknown,0
school,30.419709,-9.562853,2.02,Lycée ZERKTOUNI,Unknown,Unknown,0
school,30.428685,-9.567819,1.79,Ecole ANNAJAH,Unknown,Unknown,0
school,30.425290,-9.568829,1.54,Collège 20 AOUT,Unknown,Unknown,0
school,30.424532,-9.569127,1.48,Ecole ANNASR,Unknown,Unknown,0
school,30.424199,-9.568447,1.53,Ecole AL FATH,Unknown,Unknown,0
school,30.429749,-9.576335,1.25,Ecole IBN SINA,Unknown,Unknown,0
school,30.426831,-9.579011,0.84,Ecole OMAR IBN AL KHATTAB,Unknown,Unknown,0
school,30.423795,-9.589233,0.63,Ecole ATTAQADDOUM,Unknown,Unknown,0
school,30.412071,-9.566513,1.91,Ecole AL MAGHRIB AL KABIR,Unknown,Unknown,0
school,30.419883,-9.586569,0.27,ISTA,Unknown,Unknown,0
